1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
43685366-65c0f5 | http://is11.auto.ru/all/images/df/05/60x45/df058896.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 280 000 |  2005  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воронеж | 01.01.15
1005322081-66d4 | http://is2.auto.ru/all/images/6f/47/60x45/6f47c069.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 330 000 |  2006  |  118 250 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 31.12.14
1005981169-afda53 | http://is3.auto.ru/all/images/50/26/60x45/50261106.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #34ba2b | 160 000 |  1999  |  277 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Москва | 31.12.14
1002789867-cb6fc | http://is1.auto.ru/all/images/9d/1f/60x45/9d1f6094.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 255 000 |  2004  |  84 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 30.12.14
32329488-22d700 | http://is5.auto.ru/all/images/d0/9b/60x45/d09b172e.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 505 000 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Мурманск | 30.12.14
1005571793-8d976 | http://is14.auto.ru/all/images/0f/e8/60x45/0fe8f343.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 240 000 |  2003  |  118 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 30.12.14
1005970067-a06db | http://is2.auto.ru/all/images/36/04/60x45/36047cc8.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 165 000 |  1997  |  180 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Навля | 30.12.14
49454408-c8732 | http://is15.auto.ru/all/images/1f/be/60x45/1fbe8e27.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 255 000 |  2005  |  119 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Шатура | 30.12.14
1005925445-22314 | http://is7.auto.ru/all/images/7c/49/60x45/7c4938ad.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 250 000 |  2005  |  180 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Локоть | 30.12.14
1005735147-ad526 | http://is8.auto.ru/all/images/e4/23/60x45/e423a207.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FFFFFF | 118 000 |  1998  |  200 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Клетня | 29.12.14
1005922707-c84f6f | http://is7.auto.ru/all/images/46/c6/60x45/46c66763.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 224 000 |  2005  |  139 999 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 29.12.14
1001317848-c4d8d8 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 250 000 |  2000  |  168 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Навашино | 29.12.14
1002928354-fcf0 | http://is16.auto.ru/all/images/0c/2b/60x45/0c2ba9c0.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 265 000 |  2005  |  102 088 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 29.12.14
1005919143-fdd02 | http://is11.auto.ru/all/images/66/be/60x45/66be5d7b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 265 000 |  2006  |  230 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Владимир | 29.12.14
1005908633-f4ba4d | http://is18.auto.ru/all/images/4b/04/60x45/4b04722c.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 135 000 |  1996  |  250 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Королев | 29.12.14
1005869317-903f12 | http://is8.auto.ru/all/images/58/54/60x45/58540b50.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 235 000 |  2006  |  150 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Челябинск | 29.12.14
1005865723-11b0f1 | http://is16.auto.ru/all/images/95/83/60x45/9583a7c9.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 190 000 |  2005  |  129 700 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Архангельск | 28.12.14
1004024274-f5852 | http://is16.auto.ru/all/images/ee/c9/60x45/eec97855.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #34ba2b | 145 000 |  1998  |  220 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Лотошино | 28.12.14
1005815831-56dd | http://is7.auto.ru/all/images/0c/1d/60x45/0c1d6215.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #0000FF | 275 000 |  2001  |  100 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005815209-d358ce | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 270 000 |  2005  |  150 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Смоленск | 27.12.14
1005813625-1992 | http://is3.auto.ru/all/images/b9/94/60x45/b99464d1.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #926547 | 255 000 |  2006  |  97 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 27.12.14
1005810341-74d17 | http://is8.auto.ru/all/images/f0/52/60x45/f0522761.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 250 000 |  2004  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Славянск-на-Кубани | 27.12.14
1005809937-c9250 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #9c9999 | 135 000 |  2001  |  161 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Рязань | 27.12.14
1005650973-10ba | http://is9.auto.ru/all/images/4d/d3/60x45/4dd3e5f4.jpg |  Nissan Almera I (N15)2.0 MT (143 л.с.)  | #FF0000 | 84 000 |  1996  |  288 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 27.12.14
1005795927-b19cd7 | http://is13.auto.ru/all/images/d6/93/60x45/d6931fae.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 70 000 |  1997  |  199 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Уфа | 27.12.14
1005753845-ed2caf | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 110 000 |  1997  |  250 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Гагарин | 26.12.14
1005753709-b94a0c | http://is18.auto.ru/all/images/da/dd/60x45/daddbd4a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 205 000 |  2004  |  165 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Раменское | 26.12.14
1005748871-fb70d | http://is3.auto.ru/all/images/c8/0f/60x45/c80f1d74.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 225 000 |  2005  |  170 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Киров | 26.12.14
1005748853-64c2 | http://is12.auto.ru/all/images/47/bf/60x45/47bf004f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #34ba2b | 250 000 |  2002  |  180 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Клинцы | 26.12.14
1005747037-a250c | http://is8.auto.ru/all/images/82/ad/60x45/82ad1959.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #0000FF | 120 000 |  1996  |  360 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Белгород | 26.12.14
1005744641-6a01d | http://is16.auto.ru/all/images/18/d0/60x45/18d030a7.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #34ba2b | 200 000 |  2003  |  255 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Теплое | 26.12.14
1005731641-a44f8 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 110 000 |  1997  |  250 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Гагарин | 26.12.14
1005709119-c0ef10 | http://is2.auto.ru/all/images/7c/9b/60x45/7c9b1883.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 290 000 |  2005  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Кострома | 26.12.14
48055738-6f18b0 | http://is6.auto.ru/all/images/83/90/60x45/83907452.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 165 000 |  2005  |  110 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Мытищи | 26.12.14
1003220860-4b13ec | http://is6.auto.ru/all/images/c6/c0/60x45/c6c09b75.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 275 000 |  2006  |  127 500 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 25.12.14
1005705491-46710 | http://is8.auto.ru/all/images/ee/44/60x45/ee444fcf.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 559 000 |  2014  |  9 300 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Уфа | 25.12.14
1005647461-15097 | http://is15.auto.ru/all/images/0c/4d/60x45/0c4d327b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFCC00 | 280 000 |  2004  |  180 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Орехово-Зуево | 25.12.14
1005704341-6a5e | http://is7.auto.ru/all/images/af/8d/60x45/af8d24b6.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 578 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 25.12.14
1005631341-b6dd | http://is6.auto.ru/all/images/32/1f/60x45/321f9d0c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #34ba2b | 405 000 |  2005  |  67 392 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 25.12.14
1005701981-6c9f97 | http://is13.auto.ru/all/images/ce/fa/60x45/cefa4386.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 150 000 |  1997  |  163 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Кострома | 25.12.14
1005701971-8fce3 | http://is1.auto.ru/all/images/65/f6/60x45/65f6a543.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 199 999 |  2004  |  129 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 25.12.14
1005640833-f18b5 | http://is3.auto.ru/all/images/e4/f0/60x45/e4f01588.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #0000FF | 160 000 |  1999  |  270 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Брянск | 25.12.14
1003625842-656d | http://is18.auto.ru/all/images/4d/16/60x45/4d16390a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 260 000 |  2004  |  129 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 25.12.14
1005694395-71458 | http://is8.auto.ru/all/images/31/ee/60x45/31ee50d0.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 230 000 |  2004  |  220 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Грозный | 25.12.14
1005694239-8213 | http://is12.auto.ru/all/images/b1/29/60x45/b129f815.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 250 000 |  2005  |  130 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 25.12.14
1005648637-ba55 | http://is9.auto.ru/all/images/52/68/60x45/5268060a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 270 000 |  2005  |  200 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Владикавказ | 24.12.14
1002168751-2d82 | http://is13.auto.ru/all/images/7e/90/60x45/7e903001.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 250 000 |  2005  |  140 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Екатеринбург | 24.12.14
1005643501-812ab | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #CACECB | 200 000 |  2000  |  200 000 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Орел | 24.12.14
1002037785-9b7dbe | http://is1.auto.ru/all/images/be/4a/60x45/be4a74d9.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 145 000 |  1998  |  106 202 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Москва | 24.12.14
31453944-96c58 | http://is10.auto.ru/all/images/cd/43/60x45/cd43b614.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 436 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 24.12.14
1005637523-02fbd | http://is16.auto.ru/all/images/8b/5c/60x45/8b5c037c.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 235 000 |  2002  |  170 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Брянск | 24.12.14
1005634373-e42336 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 320 000 |  2006  |  102 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Струнино | 24.12.14
1002486241-bbab52 | http://is5.auto.ru/all/images/a8/0a/60x45/a80adc36.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 225 000 |  2005  |  170 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Чистополь | 24.12.14
1005631987-02b1a4 | http://is16.auto.ru/all/images/50/b5/60x45/50b55b83.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 235 000 |  2006  |  140 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Обнинск | 24.12.14
1005588861-ffd614 | http://is7.auto.ru/all/images/58/83/60x45/58836f3f.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #ffefd5 | 280 000 |  2006  |  115 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 24.12.14
1005588113-04e9b | http://is10.auto.ru/all/images/67/aa/60x45/67aac965.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 230 000 Правый руль |  2003  |  24 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 23.12.14
1005585841-2da6 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 220 000 |  2005  |  114 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Тверь | 23.12.14
1005585265-bc07 | http://is16.auto.ru/all/images/95/d0/60x45/95d0fe27.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #9c9999 | 255 000 |  2004  |  119 251 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Иваново | 23.12.14
1005580699-6094f4 | http://is1.auto.ru/all/images/4d/0d/60x45/4d0d8a27.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 300 000 |  2005  |  140 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Липецк | 23.12.14
1005579523-1cce | http://is18.auto.ru/all/images/39/a2/60x45/39a2eb5f.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #FF0000 | 115 000 |  1998  |  220 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005574459-74da | http://is5.auto.ru/all/images/56/f3/60x45/56f3f605.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0000FF | 170 000 |  2005  |  145 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 23.12.14
1005572277-035b | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 260 000 |  2005  |  165 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.12.14
1005567399-feba | http://is1.auto.ru/all/images/74/f4/60x45/74f46bf5.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 750 000 |  2014  |  650 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005565397-57d730 | http://is14.auto.ru/all/images/4d/f1/60x45/4df18254.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #fde910 | 135 000 |  1996  |  205 000 км  |  1.6 MT (90 л.с.)хэтчбек, бензин, передний  | Тамбов | 23.12.14
48345336-a67ea | http://is15.auto.ru/all/images/8a/83/60x45/8a83a82e.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #FF0000 | 139 000 |  1997  |  200 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Великий Новгород | 22.12.14
1005173967-1f6047 | http://is17.auto.ru/all/images/fa/ef/60x45/faef5a35.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 219 000 |  2003  |  134 300 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.12.14
1004637023-08e2e | http://is8.auto.ru/all/images/36/b2/60x45/36b2933e.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0088ff | 363 000 |  2004  |  94 038 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 17.12.14
1004332015-a8593 | http://is2.auto.ru/all/images/32/0a/60x45/320a8022.jpg |  Nissan Almera II (N16)1.8 AT (114 л.с.)  | #9c9999 | 180 000 Правый руль |  2001  |  115 000 км  |  1.8 AT (114 л.с.)седан, бензин, передний  | Санкт-Петербург | 05.12.14
49744305-06bb4 | http://is4.auto.ru/all/images/86/27/60x45/8627fb22.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 497 000 |  2014  |  8 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Обнинск | 16.10.14
