1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1003560126-1c5ccf | http://is17.auto.ru/all/images/7a/36/60x45/7a3651d4.jpg |  Volkswagen Golf III1.9d MT (90 л.с.)  | #CACECB | 100 000 |  1994  |  320 000 км  |  1.9d MT (90 л.с.)хэтчбек, дизель, передний  | Белгород | 20.01.15
1007116903-e54f | http://is13.auto.ru/all/images/14/ae/60x45/14ae78ee.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #000000 | 950 000 |  2010  |  98 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006574819-d17f30 | http://is7.auto.ru/all/images/ef/5e/60x45/ef5e6b6e.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #9c9999 | 420 000 |  2006  |  130 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Псков | 20.01.15
48962470-150deb | http://is13.auto.ru/all/images/a3/b2/60x45/a3b29caf.jpg |  Volkswagen Transporter T4 Long2.5d MT (102 л.с.) 4WD  | #FFFFFF | 950 559 |  2000  |  270 000 км  |  2.5d MT (102 л.с.) 4WDминивэн, дизель, полный  | Симферополь | 20.01.15
1007050029-233d | http://is18.auto.ru/all/images/b3/1f/60x45/b31f2a55.jpg |  Volkswagen Passat B7AT  | #000000 | 890 000 |  2011  |  48 000 км  |  ATседан, бензин, передний  | Вологда | 20.01.15
1006574819-d17f30 | http://is7.auto.ru/all/images/ef/5e/60x45/ef5e6b6e.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #9c9999 | 420 000 |  2006  |  130 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Псков | 20.01.15
48962470-150deb | http://is13.auto.ru/all/images/a3/b2/60x45/a3b29caf.jpg |  Volkswagen Transporter T4 Long2.5d MT (102 л.с.) 4WD  | #FFFFFF | 950 559 |  2000  |  270 000 км  |  2.5d MT (102 л.с.) 4WDминивэн, дизель, полный  | Симферополь | 20.01.15
1007050029-233d | http://is18.auto.ru/all/images/b3/1f/60x45/b31f2a55.jpg |  Volkswagen Passat B7AT  | #000000 | 890 000 |  2011  |  48 000 км  |  ATседан, бензин, передний  | Вологда | 20.01.15
1007116839-fea4b | http://is13.auto.ru/all/images/7a/b0/60x45/7ab03ebb.jpg |  Volkswagen Passat B51.8 MT (125 л.с.)  | #0000FF | 260 000 |  1997  |  212 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Брянск | 20.01.15
1007116751-fb710 | http://is6.auto.ru/all/images/c2/4b/60x45/c24b598a.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #CACECB | 497 000 |  2007  |  149 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007116753-2684 | http://is13.auto.ru/all/images/bc/65/60x45/bc653e5b.jpg |  Volkswagen Passat B51.8 MT (125 л.с.)  | #0000FF | 200 000 |  1999  |  250 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Дербент | 20.01.15
1001643349-535b2 | http://is7.auto.ru/all/images/6f/16/60x45/6f165a55.jpg |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #CACECB | 1 260 000 |  2013  |  52 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Тюмень | 20.01.15
1007116565-48ff8 | http://is13.auto.ru/all/images/99/1e/60x45/991e2237.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (130 л.с.)  | #CACECB | 300 000 |  2001  |  164 000 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Краснодар | 20.01.15
1006983815-17d89 | http://is18.auto.ru/all/images/e8/1b/60x45/e81b8044.jpg |  Volkswagen Passat B32.0 AT (115 л.с.)  | #FFFFFF | 109 000 |  1991  |  150 000 км  |  2.0 AT (115 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1005243511-baee74 | http://is15.auto.ru/all/images/0e/ae/60x45/0eae0cca.jpg |  Volkswagen Passat B32.0 MT (136 л.с.)  | #0000FF | 150 778 |  1992  |  301 000 км  |  2.0 MT (136 л.с.)седан, бензин, передний  | Зуевка | 20.01.15
1006690497-320991 | http://is10.auto.ru/all/images/bf/6c/60x45/bf6c48e0.jpg |  Volkswagen Passat B62.0 AT (200 л.с.)  | #000000 | 620 000 |  2008  |  98 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007116625-5cb90 | http://is16.auto.ru/all/images/47/18/60x45/471868e1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 550 000 |  2012  |  67 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1006994089-ddc57 | http://is14.auto.ru/all/images/c3/2a/60x45/c32ab6a9.jpg |  Volkswagen Jetta II1.8 MT (105 л.с.)  | #9c9999 | 40 000 |  1986  |  187 000 км  |  1.8 MT (105 л.с.)седан, бензин, передний  | Иваново | 20.01.15
1007116183-7b215 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #0000FF | 190 000 |  2001  |  215 000 км  |  1.6 MT (105 л.с.)универсал, бензин, передний  | Брянск | 20.01.15
1007049841-07e76 | http://is18.auto.ru/all/images/0a/39/60x45/0a39d41a.jpg |  Volkswagen Bora1.6 MT (101 л.с.)  | #FFFFFF | 195 000 |  1999  |  280 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007115921-c3b7e | http://is2.auto.ru/all/images/67/9a/60x45/679a795d.jpg |  Volkswagen Touareg I Рестайлинг4.2 AT (350 л.с.) 4WD  | #000000 | 850 000 |  2008  |  155 000 км  |  4.2 AT (350 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
49925516-6d94fd | http://is16.auto.ru/all/images/6c/c7/60x45/6cc75da2.jpg |  Volkswagen Passat B61.8 AT (152 л.с.)  | #9c9999 | 650 000 |  2010  |  93 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
38307864-39dc7 | http://is5.auto.ru/all/images/71/04/60x45/7104e04b.jpg |  Volkswagen Passat B5 Рестайлинг1.8 MT (150 л.с.)  | #9c9999 | 345 000 |  2003  |  180 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Киров | 20.01.15
1007116395-8bd7e | http://is15.auto.ru/all/images/6a/80/60x45/6a80d714.jpg |  Volkswagen Passat B61.8 AT (160 л.с.)  | #ffefd5 | 700 000 |  2009  |  73 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1004972417-322a5 | http://is14.auto.ru/all/images/5d/d4/60x45/5dd45d5c.jpg |  Volkswagen Passat B41.8 MT (90 л.с.)  | #0000FF | 200 000 |  1995  |  248 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Вологда | 20.01.15
1007116129-b212 | http://is9.auto.ru/all/images/6b/da/60x45/6bda66d9.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #FFFFFF | 680 000 |  2013  |  37 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Елец | 20.01.15
1006984661-bee267 | http://is17.auto.ru/all/images/8f/94/60x45/8f940200.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #0000FF | 300 000 |  2000  |  141 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
32323454-a6c2d | http://is18.auto.ru/all/images/7f/5e/60x45/7f5e14e4.jpg |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #FFFFFF | 1 399 000 |  2013  |  36 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Курск | 20.01.15
1004777475-c34b9d | http://is2.auto.ru/all/images/3a/f4/60x45/3af4b64a.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #CACECB | 120 000 |  1989  |  300 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Усть-Донецк | 20.01.15
1007116157-d7cdfc | http://is3.auto.ru/all/images/35/d6/60x45/35d6c3d0.jpg |  Volkswagen Passat B62.0 AT (200 л.с.)  | #CACECB | 595 000 |  2008  |  97 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Челябинск | 20.01.15
1006465789-3ca3 | http://is7.auto.ru/all/images/49/74/60x45/49743b54.jpg |  Volkswagen Transporter T42.4d MT (78 л.с.)  | #FFFFFF | 250 000 |  1996  |  465 722 км  |  2.4d MT (78 л.с.)минивэн, дизель, передний  | Краснознаменск | 20.01.15
1007115629-32b879 | http://is8.auto.ru/all/images/43/ce/60x45/43ceb289.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #000000 | 600 000 |  2008  |  146 000 км  |  2.0d AT (140 л.с.)универсал, дизель, передний  | Москва | 20.01.15
1006930311-d149fa | http://is2.auto.ru/all/images/23/d6/60x45/23d6491e.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #000000 | 290 000 |  2002  |  230 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005239857-5cca51 | http://is15.auto.ru/all/images/55/b1/60x45/55b11e59.jpg |  Volkswagen Sharan I Рестайлинг1.9d AT (115 л.с.)  | #CACECB | 427 424 |  2001  |  235 000 км  |  1.9d AT (115 л.с.)минивэн, дизель, передний  | Зуевка | 20.01.15
1007116021-646312 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Caravelle T52.5d MT (131 л.с.)  | #926547 | 1 050 000 |  2008  |  76 000 км  |  2.5d MT (131 л.с.)минивэн, дизель, передний  | Лебедянь | 20.01.15
1006576075-fad37d | http://is15.auto.ru/all/images/7f/ec/60x45/7fec7750.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #ffefd5 | 1 000 000 |  2012  |  57 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006875163-83f7 | http://is13.auto.ru/all/images/dc/55/60x45/dc55fb3c.jpg |  Volkswagen Passat B51.8 AT (125 л.с.)  | #FF0000 | 280 000 |  1999  |  265 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Владимир | 20.01.15
1001749741-8f24 | http://is1.auto.ru/all/images/f7/34/60x45/f734285d.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.)  | #CACECB | 1 700 000 |  2011  |  86 000 км  |  2.0d AT (180 л.с.)минивэн, дизель, передний  | Армавир | 20.01.15
1007115895-edd2dc | http://is15.auto.ru/all/images/4e/8d/60x45/4e8dfdc2.jpg |  Volkswagen Transporter T5 Рестайлинг Long2.0d MT (140 л.с.) 4WD  | #9c9999 | 2 900 000 |  2012  |  145 600 км  |  2.0d MT (140 л.с.) 4WDминивэн, дизель, полный  | Москва | 20.01.15
1006934619-796ec | http://is9.auto.ru/all/images/16/d5/60x45/16d57ca5.jpg |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 370 000 |  2001  |  115 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Евпатория | 20.01.15
1007115887-be6b8 | http://is2.auto.ru/all/images/f5/f4/60x45/f5f4339b.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #926547 | 1 079 000 |  2012  |  85 500 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007115273-d212f | http://is14.auto.ru/all/images/e4/0c/60x45/e40c1a2b.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 355 000 |  2003  |  142 000 км  |  1.8 AT (150 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1007115361-485c8 | http://is9.auto.ru/all/images/26/46/60x45/26467050.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #0000FF | 45 000 |  1988  |  300 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Таловая | 20.01.15
1004028244-575e45 | http://is11.auto.ru/all/images/c5/65/60x45/c565b3d1.jpg |  Volkswagen Passat B71.8 MT (160 л.с.)  | #9c9999 | 1 220 000 |  2013  |  37 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Смоленск | 20.01.15
1007115841-8b8f | http://is2.auto.ru/all/images/22/bf/60x45/22bf4f59.jpg |  Volkswagen Golf GTI VII2.0 AT (220 л.с.)  | #FFFFFF | 1 550 000 |  2013  |  17 500 км  |  2.0 AT (220 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007115801-a84e | http://is7.auto.ru/all/images/48/e6/60x45/48e6c0c1.jpg |  Volkswagen Sharan I2.8 AT (174 л.с.)  | #0000FF | 150 000 |  1996  |  10 000 км  |  2.8 AT (174 л.с.)минивэн, бензин, передний  | Кострома | 20.01.15
1007115757-7790 | http://is6.auto.ru/all/images/eb/f4/60x45/ebf4d9b8.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #FF0000 | 250 000 Правый руль |  2003  |  175 000 км  |  1.6 AT (102 л.с.)универсал, бензин, передний  | Туймазы | 20.01.15
1007113895-3321 | http://is4.auto.ru/all/images/d3/42/60x45/d3421d90.jpg |  Volkswagen Passat CC I Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 1 099 000 |  2012  |  49 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006410653-2097e6 | http://is5.auto.ru/all/images/ce/22/60x45/ce22c451.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0088ff | 270 000 |  2000  |  150 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Ступино | 20.01.15
1007109687-71021 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf Plus II1.4 AT (122 л.с.)  | #FFFFFF | 595 000 |  2011  |  53 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007115447-cd90b3 | http://is11.auto.ru/all/images/ca/b4/60x45/cab4b369.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (240 л.с.) 4WD  | #FFFFFF | 1 555 000 |  2008  |  109 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 20.01.15
1007114977-ad4f28 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 365 000 |  2002  |  172 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 20.01.15
1006362439-c557 | http://is18.auto.ru/all/images/7f/9e/60x45/7f9eb702.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 615 000 |  2012  |  32 300 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007115595-cb4918 | http://is4.auto.ru/all/images/a9/1f/60x45/a91f113a.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #9c9999 | 105 000 |  1994  |  100 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007051045-0d209f | http://is2.auto.ru/all/images/47/70/60x45/477044a9.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #FFFFFF | 1 470 000 |  2013  |  14 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1005919445-226c1 | http://is10.auto.ru/all/images/81/b0/60x45/81b0149f.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #CACECB | 2 899 000 |  2013  |  39 500 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Орел | 20.01.15
1007114255-68a6 | http://is2.auto.ru/all/images/ec/d7/60x45/ecd70e2d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 530 000 |  2012  |  37 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007115533-d80e | http://is14.auto.ru/all/images/6d/a5/60x45/6da575a3.jpg |  Volkswagen Passat B51.9d AT (110 л.с.)  | #9c9999 | 280 000 |  1998  |  260 000 км  |  1.9d AT (110 л.с.)седан, дизель, передний  | Брянск | 20.01.15
1007115499-bfd4e | http://is13.auto.ru/all/images/d0/a7/60x45/d0a727dd.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #0000FF | 195 000 |  1999  |  110 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Тверь | 20.01.15
1006992239-7bf9e | http://is16.auto.ru/all/images/2a/33/60x45/2a33b244.jpg |  Volkswagen Passat B71.4 AT (122 л.с.)  | #9c9999 | 779 000 |  2011  |  99 000 км  |  1.4 AT (122 л.с.)универсал, бензин, передний  | Калининград | 20.01.15
1002991720-50ad | http://is17.auto.ru/all/images/59/30/60x45/5930d2f7.jpg |  Volkswagen Golf Plus II1.6 AT (102 л.с.)  | #FFFFFF | 750 000 |  2012  |  71 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Тула | 20.01.15
1007115367-5f3e3 | http://is4.auto.ru/all/images/29/45/60x45/29456f85.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 1 000 000 |  2013  |  14 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006215275-8a6b | http://is8.auto.ru/all/images/49/33/60x45/49335646.jpg |  Volkswagen Passat B52.3 AT (150 л.с.)  | #0000FF | 265 000 |  1998  |  270 000 км  |  2.3 AT (150 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007114597-f4d85 | http://is1.auto.ru/all/images/fa/f4/60x45/faf4b89f.jpg |  Volkswagen Passat B5 Рестайлинг1.6 AT (102 л.с.)  | #000000 | 350 000 |  2000  |  270 000 км  |  1.6 AT (102 л.с.)универсал, бензин, передний  | Москва | 20.01.15
1007045323-196b | http://is13.auto.ru/all/images/2b/19/60x45/2b191de6.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #FFFFFF | 980 000 |  2013  |  42 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1007115267-410d5f | http://is8.auto.ru/all/images/db/04/60x45/db048c32.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2013  |  26 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 20.01.15
1007115283-3e487 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #CACECB | 193 000 |  2001  |  155 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Клин | 20.01.15
1007054909-608016 | http://is6.auto.ru/all/images/3b/47/60x45/3b474a1c.jpg |  Volkswagen Scirocco III2.0 AT (200 л.с.)  | #FFFFFF | 754 990 |  2009  |  79 000 км  |  2.0 AT (200 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006926299-47ac2 | http://is3.auto.ru/all/images/5c/85/60x45/5c857358.jpg |  Volkswagen Touareg II3.0d AT (204 л.с.) 4WD  | #FFFFFF | 1 850 000 |  2011  |  74 000 км  |  3.0d AT (204 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 20.01.15
