1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1006977779-e716 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 490 000 |  2013  |  12 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Самара | 18.01.15
1006620785-dc6cc | http://is10.auto.ru/all/images/fe/72/60x45/fe7210ae.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 520 000 |  2013  |  30 197 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006965781-9a6433 | http://is7.auto.ru/all/images/71/40/60x45/7140fd63.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 497 000 |  2013  |  86 250 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 18.01.15
1006472013-4b35e | http://is11.auto.ru/all/images/6f/ac/60x45/6fac9499.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFCC00 | 450 000 |  2011  |  62 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Киров | 17.01.15
1006464235-b1b9 | http://is10.auto.ru/all/images/45/6c/60x45/456c1a46.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 520 000 |  2011  |  72 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929999-26f94a | http://is15.auto.ru/all/images/fc/ea/60x45/fcea4205.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 480 000 |  2011  |  54 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
36991926-bfa1 | http://is5.auto.ru/all/images/77/63/60x45/7763fef2.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 654 000 |  2012  |  44 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 17.01.15
1003357198-35420 | http://is17.auto.ru/all/images/cd/38/60x45/cd38b8c7.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FF0000 | 140 000 |  1997  |  240 000 км  |  1.4 MT (60 л.с.)седан, бензин, передний  | Сыктывкар | 17.01.15
1006934477-ae69 | http://is8.auto.ru/all/images/d2/7b/60x45/d27b72de.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  90 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Чебоксары | 17.01.15
1006811019-d768a3 | http://is14.auto.ru/all/images/aa/ae/60x45/aaae060e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 595 500 |  2014  |  1 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006933033-46ce | http://is2.auto.ru/all/images/02/00/60x45/0200746f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 485 000 |  2012  |  57 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Орел | 17.01.15
1005698231-cf2d | http://is5.auto.ru/all/images/77/32/60x45/773293ad.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #34ba2b | 85 000 |  1995  |  230 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Павловский Посад | 17.01.15
1006859137-b8706f | http://is12.auto.ru/all/images/a9/d9/60x45/a9d914e5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 483 520 |  2010  |  80 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
46625986-2f206 | http://is6.auto.ru/all/images/04/09/60x45/0409f90b.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 329 970 |  2008  |  90 510 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006209479-e89f6 | http://is16.auto.ru/all/images/e2/bb/60x45/e2bb35cf.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 570 000 |  2013  |  32 789 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006929327-4564 | http://is1.auto.ru/all/images/6a/41/60x45/6a41239d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 440 000 |  2012  |  27 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006928745-10194 | http://is11.auto.ru/all/images/e8/c7/60x45/e8c7d51c.jpg |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #FF9966 | 600 000 |  2011  |  40 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Россошь | 17.01.15
1001589014-4834d0 | http://is17.auto.ru/all/images/98/95/60x45/9895deed.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 450 000 |  2011  |  49 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Липецк | 17.01.15
1006927765-8f0c45 | http://is9.auto.ru/all/images/30/e2/60x45/30e2577e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 530 000 |  2012  |  70 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Климовск | 17.01.15
1006927655-e4af | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 350 000 |  2012  |  50 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Спирово | 17.01.15
1006927201-4cd76a | http://is9.auto.ru/all/images/50/a9/60x45/50a9f200.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 505 000 |  2012  |  68 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006869617-a7932 | http://is3.auto.ru/all/images/5d/eb/60x45/5deb743f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 700 000 |  2012  |  49 445 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Мытищи | 17.01.15
1006925207-96f32d | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 540 000 |  2012  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курган | 17.01.15
1006803639-996061 | http://is18.auto.ru/all/images/64/53/60x45/6453f448.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 848 000 |  2013  |  19 850 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006804257-53984 | http://is18.auto.ru/all/images/64/53/60x45/6453f448.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 848 000 |  2013  |  19 850 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006743047-b96556 | http://is11.auto.ru/all/images/65/23/60x45/65231632.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FFFFFF | 65 000 |  1995  |  290 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1005814703-4ffd5 | http://is12.auto.ru/all/images/f7/3a/60x45/f73af9c5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 560 000 |  2013  |  9 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Брянск | 17.01.15
1006923795-63683 | http://is12.auto.ru/all/images/ca/e9/60x45/cae99d6f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 480 000 |  2013  |  72 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1006922337-fab569 | http://is18.auto.ru/all/images/9b/8e/60x45/9b8e986d.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #000000 | 460 000 |  2010  |  19 000 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Солнечногорск | 17.01.15
1006732873-65d3 | http://is9.auto.ru/all/images/92/3d/60x45/923d8150.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 470 000 Правый руль |  2011  |  120 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Омск | 17.01.15
1006921537-c307 | http://is3.auto.ru/all/images/f0/5f/60x45/f05f9653.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #9966CC | 180 000 |  2002  |  190 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Дзержинск | 17.01.15
1006920399-5cecd | http://is1.auto.ru/all/images/e3/c2/60x45/e3c2269c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 425 000 |  2011  |  41 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006920513-8a09 | http://is2.auto.ru/all/images/57/ce/60x45/57ce9b5b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 550 000 |  2013  |  18 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Тула | 17.01.15
1006912805-001940 | http://is16.auto.ru/all/images/57/f4/60x45/57f4ac50.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 420 000 |  2012  |  40 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006910935-83959c | http://is4.auto.ru/all/images/63/43/60x45/6343cb2d.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #0000FF | 104 000 |  1997  |  199 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006155965-d9f9 | http://is6.auto.ru/all/images/76/a9/60x45/76a97852.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #000000 | 460 000 |  2011  |  92 000 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Железнодорожный | 17.01.15
49541940-177f | http://is17.auto.ru/all/images/8a/d1/60x45/8ad1ae60.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #000000 | 495 000 |  2010  |  29 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Воронеж | 17.01.15
1006878675-81cb34 | http://is18.auto.ru/all/images/8b/32/60x45/8b32b688.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 500 000 |  2012  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Подольск | 16.01.15
1006878359-9a40 | http://is17.auto.ru/all/images/d6/e8/60x45/d6e8df47.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 450 000 |  2012  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Орел | 16.01.15
1006268383-ffc1 | http://is8.auto.ru/all/images/78/e2/60x45/78e2b371.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #0000FF | 270 000 |  2005  |  111 500 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Челябинск | 16.01.15
1006877459-d0c6 | http://is8.auto.ru/all/images/f4/2d/60x45/f42dd1e8.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #FFFFFF | 560 000 |  2014  |  10 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Миллерово | 16.01.15
1006800637-8b2b | http://is5.auto.ru/all/images/De/fa/60x45/DefaultP.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 450 000 |  2012  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Карачев | 16.01.15
1006876249-91ba0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 410 000 |  2011  |  54 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ярославль | 16.01.15
1006875875-585a | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 443 000 |  2011  |  50 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 16.01.15
1006633819-f270b9 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 580 000 |  2012  |  19 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006810649-54ede | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 460 000 |  2011  |  17 170 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 16.01.15
1005813761-53e3 | http://is4.auto.ru/all/images/b0/28/60x45/b02870ac.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #CACECB | 461 530 |  2010  |  78 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Белгород | 16.01.15
1006873711-4838 | http://is6.auto.ru/all/images/b6/ed/60x45/b6ed6ce0.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 490 000 |  2012  |  115 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Горно-Алтайск | 16.01.15
1005809097-6fc3e | http://is1.auto.ru/all/images/8f/f9/60x45/8ff95476.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 660 000 |  2012  |  48 985 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006872741-453131 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 515 000 |  2012  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Обнинск | 16.01.15
1006812075-4846 | http://is7.auto.ru/all/images/8a/e4/60x45/8ae4ecce.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 530 000 |  2011  |  30 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тольятти | 16.01.15
1006207519-c1374 | http://is7.auto.ru/all/images/09/f5/60x45/09f561dd.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 520 000 |  2011  |  83 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Зеленоград | 16.01.15
1006868079-56cafc | http://is14.auto.ru/all/images/43/a4/60x45/43a40a71.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 250 000 |  2012  |  82 284 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Якутск | 16.01.15
1006858403-a5f1d7 | http://is11.auto.ru/all/images/c5/aa/60x45/c5aadac5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 250 000 |  2012  |  64 596 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Якутск | 16.01.15
1006869857-72a17 | http://is7.auto.ru/all/images/d1/54/60x45/d154cb6b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 385 000 |  2011  |  100 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Обнинск | 16.01.15
1005587563-7f9b2 | http://is3.auto.ru/all/images/46/80/60x45/4680bd95.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 600 000 |  2014  |  1 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Бронницы | 16.01.15
1006868163-3a5ce | http://is4.auto.ru/all/images/39/cb/60x45/39cb3417.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #926547 | 395 000 |  2012  |  95 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Чебоксары | 16.01.15
1006868185-5353 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 469 000 |  2012  |  51 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Курск | 16.01.15
1006867831-c23f1 | http://is11.auto.ru/all/images/ee/60/60x45/ee603a88.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #0000FF | 375 000 |  2008  |  138 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006311505-0904 | http://is18.auto.ru/all/images/06/2f/60x45/062f3b4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 450 000 |  2012  |  105 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Обнинск | 16.01.15
1002290409-2e1067 | http://is2.auto.ru/all/images/ce/7e/60x45/ce7e4878.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 526 900 |  2011  |  87 700 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 16.01.15
1001841641-d84406 | http://is15.auto.ru/all/images/60/cf/60x45/60cf6788.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #0000FF | 290 000 |  2007  |  43 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1002416151-9351c | http://is5.auto.ru/all/images/a7/8c/60x45/a78c2886.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 590 000 |  2014  |  14 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006861987-3a8b | http://is11.auto.ru/all/images/53/48/60x45/534867ff.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 435 000 |  2012  |  41 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1005867005-1633 | http://is12.auto.ru/all/images/2c/e7/60x45/2ce71296.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 485 000 |  2014  |  11 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Старая Русса | 16.01.15
1003624772-cee7f2 | http://is8.auto.ru/all/images/35/d8/60x45/35d85ed1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 670 000 |  2014  |  9 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курск | 16.01.15
1006857243-d7d3d | http://is8.auto.ru/all/images/a2/6e/60x45/a26e2cad.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #0088ff | 280 000 |  2006  |  110 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 16.01.15
1006856257-c2d888 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 575 000 |  2014  |  17 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1006844999-c552 | http://is9.auto.ru/all/images/c7/75/60x45/c7755ef9.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #FFFFFF | 635 000 |  2011  |  6 800 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Барнаул | 16.01.15
1006813277-2f6a | http://is15.auto.ru/all/images/44/a5/60x45/44a5da9c.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #0000FF | 395 000 |  2008  |  50 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Архангельск | 15.01.15
1006815225-03c891 | http://is6.auto.ru/all/images/b7/33/60x45/b733d5eb.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2013  |  29 700 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Вологда | 15.01.15
