1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1006068653-70049 | http://is2.auto.ru/all/images/08/7f/60x45/087f8a24.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.)  | #CACECB | 360 000 |  2002  |  165 000 км  |  1.8 MT (170 л.с.)седан, бензин, передний  | Рязань | 15.01.15
1001842971-b72c0e | http://is16.auto.ru/all/images/7b/ae/60x45/7bae29b2.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 895 000 |  2011  |  40 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Пермь | 15.01.15
1006804703-b8cb3 | http://is6.auto.ru/all/images/c5/4c/60x45/c54cb746.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 510 000 |  2005  |  160 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006804055-11e6d | http://is8.auto.ru/all/images/eb/3e/60x45/eb3e75b8.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #34ba2b | 200 000 |  1998  |  233 000 км  |  2.4 AT (165 л.с.)универсал, бензин, передний  | Москва | 15.01.15
1006742009-d23fbc | http://is14.auto.ru/all/images/1c/c4/60x45/1cc450db.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 880 000 |  2011  |  73 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006801797-348eb5 | http://is6.auto.ru/all/images/5e/22/60x45/5e225e0e.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CACECB | 799 000 |  2009  |  49 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1003273188-bbdf9 | http://is11.auto.ru/all/images/e2/d7/60x45/e2d77f0a.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 670 000 |  2010  |  63 972 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Москва | 15.01.15
1006801333-371ace | http://is18.auto.ru/all/images/cc/22/60x45/cc225663.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 720 000 |  2008  |  115 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005862051-0f909c | http://is9.auto.ru/all/images/b5/47/60x45/b547f6ba.jpg |  Audi A4 I (B5)1.6 AT (101 л.с.)  | #34ba2b | 188 000 |  1997  |  223 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006799067-36163c | http://is16.auto.ru/all/images/49/df/60x45/49dfef72.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #FFFFFF | 870 000 |  2010  |  91 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
1006798869-cefa0 | http://is1.auto.ru/all/images/cc/48/60x45/cc486526.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 380 000 |  2002  |  250 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Астрахань | 15.01.15
40081678-4eee | http://is2.auto.ru/all/images/d5/e8/60x45/d5e8f423.jpg |  Audi A4 IV (B8)2.0 MT (180 л.с.)  | #000000 | 600 000 |  2008  |  96 000 км  |  2.0 MT (180 л.с.)седан, бензин, передний  | Ижевск | 15.01.15
1006672355-0b3664 | http://is1.auto.ru/all/images/e0/c0/60x45/e0c02f24.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 775 000 |  2007  |  91 300 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Екатеринбург | 15.01.15
1006797737-c3a30 | http://is4.auto.ru/all/images/b8/5b/60x45/b85b0e4e.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #000000 | 1 280 000 |  2014  |  1 030 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 15.01.15
1004019876-62de1 | http://is7.auto.ru/all/images/21/50/60x45/21502426.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #000000 | 280 000 |  2001  |  195 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Москва | 15.01.15
1002994710-fcb5 | http://is2.auto.ru/all/images/5a/7a/60x45/5a7a9940.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 320 000 |  1999  |  210 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005735091-4f583e | http://is6.auto.ru/all/images/ec/2c/60x45/ec2c6cf0.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #FF0000 | 380 000 |  2002  |  205 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006795231-ef24d5 | http://is2.auto.ru/all/images/54/53/60x45/5453b1bf.jpg |  Audi A4 III (B7)2.0 MT (130 л.с.)  | #000000 | 498 518 |  2005  |  151 140 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006794171-a9427d | http://is2.auto.ru/all/images/33/24/60x45/3324e7a5.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #000000 | 540 000 |  2006  |  125 000 км  |  2.0d CVT (140 л.с.) 8Vседан, дизель, передний  | Ачинск | 15.01.15
1006794095-0cf15 | http://is15.auto.ru/all/images/78/fa/60x45/78fa6c56.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 375 000 |  2002  |  210 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 15.01.15
41248016-459da | http://is18.auto.ru/all/images/27/0c/60x45/270c8cdd.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #000000 | 650 000 |  2003  |  83 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006627677-30b5 | http://is6.auto.ru/all/images/e0/ff/60x45/e0ff1eb2.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.) 4WD  | #9c9999 | 300 000 |  1999  |  245 000 км  |  1.8 MT (125 л.с.) 4WDседан, бензин, полный  | Москва | 15.01.15
1006572651-fe9da | http://is8.auto.ru/all/images/4d/34/60x45/4d344161.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #000000 | 160 000 |  1995  |  358 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Воронеж | 15.01.15
49527258-ac90 | http://is9.auto.ru/all/images/dc/86/60x45/dc868ed4.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 990 000 |  2011  |  44 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1005869185-ba549 | http://is13.auto.ru/all/images/77/1a/60x45/771ae2b5.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #000000 | 195 000 |  1996  |  280 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Владимир | 15.01.15
1006753431-ee430 | http://is16.auto.ru/all/images/b3/29/60x45/b329437d.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #9c9999 | 228 000 |  2000  |  164 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006522583-f8ba0 | http://is16.auto.ru/all/images/4d/f6/60x45/4df6214e.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 650 000 |  2007  |  97 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Самара | 14.01.15
1006522625-1942d | http://is16.auto.ru/all/images/f7/4b/60x45/f74bca66.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 650 000 |  2007  |  97 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Саратов | 14.01.15
1006522673-224d5b | http://is5.auto.ru/all/images/91/af/60x45/91af8b29.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 650 000 |  2007  |  97 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Кузнецк | 14.01.15
1006522739-76e88 | http://is17.auto.ru/all/images/f5/6d/60x45/f56dcfaa.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 650 000 |  2007  |  97 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Ульяновск | 14.01.15
1006752677-aa7c | http://is17.auto.ru/all/images/33/a9/60x45/33a90b52.jpg |  Audi A4 I (B5)1.9d AT (110 л.с.)  | #34ba2b | 210 000 |  1997  |  217 000 км  |  1.9d AT (110 л.с.)универсал, дизель, передний  | Щелково | 14.01.15
1006631521-5eeb | http://is15.auto.ru/all/images/76/3f/60x45/763fa701.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 185 000 |  1996  |  235 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 14.01.15
49617450-83e45 | http://is17.auto.ru/all/images/23/e5/60x45/23e501cf.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 690 000 |  2007  |  91 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 14.01.15
46053992-cf264 | http://is14.auto.ru/all/images/4f/8c/60x45/4f8cdf1a.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #FF0000 | 888 888 |  2008  |  135 000 км  |  2.0 CVT (180 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006414449-2a257d | http://is13.auto.ru/all/images/46/79/60x45/46793a00.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #FF0000 | 190 000 |  1995  |  150 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Сочи | 14.01.15
1002155569-6f68c | http://is11.auto.ru/all/images/d6/99/60x45/d6995699.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #000000 | 850 000 |  2009  |  45 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Воронеж | 14.01.15
1006751531-c8ba5a | http://is6.auto.ru/all/images/f0/05/60x45/f005728c.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 860 000 |  2010  |  110 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Богородск | 14.01.15
1006751417-88630 | http://is18.auto.ru/all/images/c8/16/60x45/c816e5f0.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 1 050 000 |  2011  |  40 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006751169-4c81a5 | http://is12.auto.ru/all/images/98/ac/60x45/98acc0e8.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 1 000 000 |  2010  |  112 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Архангельск | 14.01.15
1006751111-3b9a8c | http://is7.auto.ru/all/images/81/d6/60x45/81d6510d.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 1 000 000 |  2011  |  82 500 км  |  2.0 AT (211 л.с.) 4WDуниверсал, бензин, полный  | Москва | 14.01.15
1006751003-cef0 | http://is3.auto.ru/all/images/8f/c5/60x45/8fc5226e.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #9c9999 | 1 025 000 |  2011  |  32 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 14.01.15
1006750997-6e21 | http://is2.auto.ru/all/images/12/b9/60x45/12b985a4.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #9c9999 | 1 030 000 |  2011  |  23 350 км  |  2.0 AT (211 л.с.) 4WDуниверсал, бензин, полный  | Москва | 14.01.15
1006749599-64788 | http://is12.auto.ru/all/images/dc/f7/60x45/dcf70a31.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 850 000 |  2010  |  60 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Энгельс | 14.01.15
1006262371-ff3a | http://is5.auto.ru/all/images/9d/67/60x45/9d67cecf.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #CACECB | 370 000 |  2003  |  175 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Коломна | 14.01.15
1006749643-d10a | http://is10.auto.ru/all/images/4d/e1/60x45/4de150a4.jpg |  Audi A4 IV (B8)2.0 CVT (211 л.с.)  | #FFFFFF | 950 000 |  2010  |  130 000 км  |  2.0 CVT (211 л.с.)седан, бензин, передний  | Москва | 14.01.15
1004336967-e787 | http://is11.auto.ru/all/images/74/22/60x45/74224019.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #0000FF | 370 000 |  2002  |  230 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Тверь | 14.01.15
1002552245-8671 | http://is7.auto.ru/all/images/84/df/60x45/84dfc42b.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 600 000 |  2006  |  93 000 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Москва | 14.01.15
1006748739-99cf | http://is17.auto.ru/all/images/30/45/60x45/3045c0ff.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #000000 | 800 000 |  2008  |  125 000 км  |  2.0 CVT (180 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006747093-d145d1 | http://is12.auto.ru/all/images/fb/06/60x45/fb06cf4b.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #0000FF | 750 000 |  2009  |  150 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 14.01.15
1006746949-d00b80 | http://is16.auto.ru/all/images/46/92/60x45/46924daa.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #000000 | 290 000 |  2000  |  150 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Пенза | 14.01.15
1005116031-3af1 | http://is3.auto.ru/all/images/42/64/60x45/426408a4.jpg |  Audi A4 I (B5)1.8 AT (150 л.с.)  | #0000FF | 215 000 |  1998  |  250 000 км  |  1.8 AT (150 л.с.)универсал, бензин, передний  | Зеленоград | 14.01.15
1006744947-8cc116 | http://is8.auto.ru/all/images/bd/4e/60x45/bd4e6fbd.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 575 000 |  2007  |  149 600 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Екатеринбург | 14.01.15
1006744907-a051 | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #34ba2b | 350 000 |  2000  |  250 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Сафоново | 14.01.15
1001056308-4868cd | http://is14.auto.ru/all/images/cd/09/60x45/cd09c475.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 890 000 |  2008  |  85 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
1003902380-80ea49 | http://is5.auto.ru/all/images/6f/35/60x45/6f354f41.jpg |  Audi A4 III (B7)2.0 MT (130 л.с.)  | #FF0000 | 550 000 |  2006  |  110 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Липецк | 14.01.15
47916556-a0cc9 | http://is15.auto.ru/all/images/3f/d5/60x45/3fd5b342.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 915 000 |  2009  |  69 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1006744203-ad5207 | http://is14.auto.ru/all/images/1b/41/60x45/1b41aeae.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #CACECB | 250 000 |  1998  |  245 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Петрозаводск | 14.01.15
1006628655-5e0d47 | http://is4.auto.ru/all/images/20/7e/60x45/207e5f97.jpg |  Audi A4 II (B6)1.8 MT (163 л.с.)  | #0088ff | 385 000 |  2003  |  255 000 км  |  1.8 MT (163 л.с.)седан, бензин, передний  | Волгоград | 14.01.15
1006743829-beb35d | http://is4.auto.ru/all/images/ce/ef/60x45/ceef4cf9.jpg |  Audi A4 I (B5)1.8 AT (150 л.с.)  | #0000FF | 200 000 |  1997  |  200 000 км  |  1.8 AT (150 л.с.)универсал, бензин, передний  | Москва | 14.01.15
1006743765-fa14 | http://is8.auto.ru/all/images/34/dc/60x45/34dc38de.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.)  | #0000FF | 400 000 |  2001  |  400 000 км  |  1.8 MT (170 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006368037-142e6 | http://is16.auto.ru/all/images/36/08/60x45/3608a9f0.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 840 000 |  2008  |  123 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006743717-5dbf | http://is4.auto.ru/all/images/3e/c8/60x45/3ec87dd0.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.)  | #0000FF | 491 668 |  1997  |  302 000 км  |  1.8 MT (150 л.с.)универсал, бензин, передний  | Донецк | 14.01.15
1006743721-3962 | http://is2.auto.ru/all/images/68/3f/60x45/683f8974.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 760 000 |  2008  |  92 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
1005704349-f8b17 | http://is17.auto.ru/all/images/8c/96/60x45/8c9644a6.jpg |  Audi A4 III (B7)2.0 CVT (150 л.с.)  | #000000 | 600 000 |  2006  |  110 000 км  |  2.0 CVT (150 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006524605-47d8 | http://is8.auto.ru/all/images/dd/40/60x45/dd40aa57.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 750 000 |  2008  |  120 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Сергиев Посад | 14.01.15
49340756-8fc3a5 | http://is16.auto.ru/all/images/91/7b/60x45/917b2c96.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #0000FF | 450 000 |  2002  |  240 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Тамбов | 14.01.15
44605586-e9881 | http://is2.auto.ru/all/images/38/c5/60x45/38c56102.jpg |  Audi A4 IV (B8)1.8 MT (160 л.с.)  | #000000 | 720 000 |  2008  |  120 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Алексеевка | 14.01.15
49532452-129404 | http://is6.auto.ru/all/images/97/40/60x45/97401c75.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CACECB | 790 000 |  2008  |  104 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006738621-7ea695 | http://is17.auto.ru/all/images/80/2b/60x45/802b75ff.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 810 000 |  2009  |  130 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Железнодорожный | 14.01.15
48683556-5c801 | http://is3.auto.ru/all/images/4d/0e/60x45/4d0e354f.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 640 000 |  2007  |  45 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Нижний Новгород | 14.01.15
1005187775-69ea7c | http://is17.auto.ru/all/images/23/9e/60x45/239e2f8c.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 560 000 |  2004  |  179 100 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Мурманск | 14.01.15
1006738235-36eeea | http://is12.auto.ru/all/images/fc/df/60x45/fcdf1a68.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #000000 | 1 130 000 |  2012  |  103 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 14.01.15
1005914791-15945 | http://is10.auto.ru/all/images/b6/a7/60x45/b6a718d6.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 1 050 000 |  2010  |  95 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 14.01.15
