36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1003846278-0b25 | http://is4.auto.ru/all/images/9c/70/60x45/9c7040cd.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 210 000 |  2006  |  210 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 19.01.15
1007055129-1656a | http://is15.auto.ru/all/images/ef/d4/60x45/efd4163a.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 320 000 |  2010  |  55 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 20.01.15
1006565611-17bcc9 | http://is9.auto.ru/all/images/fc/55/60x45/fc55a486.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 240 000 |  2006  |  114 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 20.01.15
1007055493-e6a69 | http://is6.auto.ru/all/images/a7/ff/60x45/a7ffa100.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 280 000 |  2008  |  72 500 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Рославль | 20.01.15
1007055955-183d | http://is3.auto.ru/all/images/2a/b6/60x45/2ab65560.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 330 000 |  2010  |  116 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Обоянь | 20.01.15
1006877833-4b3add | http://is8.auto.ru/all/images/a4/96/60x45/a496a170.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 320 000 |  2010  |  81 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007083647-5daac4 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 199 999 |  2007  |  93 258 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007083207-4ef73 | http://is16.auto.ru/all/images/1b/5f/60x45/1b5fe28a.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 344 444 |  2011  |  29 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007094045-fc3d1 | http://is10.auto.ru/all/images/ae/f5/60x45/aef5f809.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 265 000 |  2008  |  154 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тула | 20.01.15
1006859617-a37a4 | http://is7.auto.ru/all/images/6a/fd/60x45/6afdb44a.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 379 000 |  2011  |  16 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Сыктывкар | 20.01.15
1006734569-76de8b | http://is3.auto.ru/all/images/3a/2a/60x45/3a2a708b.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 259 000 |  2011  |  76 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006937557-a2332b | http://is9.auto.ru/all/images/ce/4b/60x45/ce4baac1.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 230 000 |  2009  |  75 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005695553-e4183 | http://is18.auto.ru/all/images/45/a4/60x45/45a42fcc.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 300 000 |  2013  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Обнинск | 20.01.15
1006864381-a222 | http://is6.auto.ru/all/images/0a/c7/60x45/0ac7b7c6.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 305 000 |  2013  |  29 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1004423605-f996 | http://is6.auto.ru/all/images/11/58/60x45/11583965.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 305 000 |  2009  |  65 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Ярославль | 20.01.15
49925752-40c0 | http://is16.auto.ru/all/images/4c/13/60x45/4c13bcaf.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 223 000 |  2006  |  130 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ярославль | 20.01.15
1007098247-2b17d1 | http://is8.auto.ru/all/images/26/f6/60x45/26f6b99b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 200 000 |  2006  |  145 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Нижний Новгород | 20.01.15
1007097729-85e3b9 | http://is5.auto.ru/all/images/98/cc/60x45/98ccc1d6.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 238 000 |  2007  |  78 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006207079-9e5a | http://is15.auto.ru/all/images/a3/fc/60x45/a3fc1805.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 300 000 |  2011  |  72 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007099027-10a31 | http://is11.auto.ru/all/images/eb/f8/60x45/ebf8d9bc.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 274 000 |  2010  |  49 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 20.01.15
1007099035-6785 | http://is3.auto.ru/all/images/0c/a6/60x45/0ca6a20f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 317 000 |  2010  |  121 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 20.01.15
1006568723-b2a2fc | http://is9.auto.ru/all/images/1b/ee/60x45/1bee319f.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 225 000 |  2009  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007098463-da45ee | http://is8.auto.ru/all/images/90/c9/60x45/90c95881.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 210 000 |  2007  |  64 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006985487-d6eee5 | http://is18.auto.ru/all/images/07/33/60x45/07336a3a.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 165 000 |  2006  |  200 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007101963-06cf | http://is18.auto.ru/all/images/3a/13/60x45/3a13e248.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 330 000 |  2014  |  20 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007102103-060df | http://is17.auto.ru/all/images/8c/f4/60x45/8cf4c6d6.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #CACECB | 639 000 |  2014  |  100 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Шахты | 20.01.15
1007045921-025b | http://is14.auto.ru/all/images/17/ff/60x45/17ffac57.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 250 000 |  2007  |  65 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007102791-b34ad | http://is12.auto.ru/all/images/50/fe/60x45/50fe34d2.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 335 000 |  2011  |  57 129 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1007101817-d2da1 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 190 000 |  2008  |  180 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 20.01.15
1007101893-7fe5d6 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 190 000 |  2008  |  182 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тверь | 20.01.15
1007103209-38ef | http://is9.auto.ru/all/images/3f/43/60x45/3f433665.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #fde910 | 210 000 |  2007  |  178 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006366829-d6ab | http://is4.auto.ru/all/images/89/97/60x45/899708f2.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 350 000 |  2013  |  38 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005702247-ea1c1 | http://is11.auto.ru/all/images/0f/cf/60x45/0fcf3446.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 230 000 |  2006  |  150 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007104041-382b92 | http://is6.auto.ru/all/images/94/10/60x45/9410410d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 285 000 |  2009  |  56 045 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007103435-ec152 | http://is9.auto.ru/all/images/63/80/60x45/63800bb4.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 329 000 |  2014  |  19 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1006673171-40e2c | http://is16.auto.ru/all/images/8a/b5/60x45/8ab5d546.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 230 000 |  2009  |  145 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 20.01.15
1006676597-853fcf | http://is5.auto.ru/all/images/ee/c6/60x45/eec60195.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 499 000 |  2014  |  10 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Курск | 20.01.15
1006798225-b8267 | http://is2.auto.ru/all/images/8c/67/60x45/8c676b4a.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 395 000 |  2012  |  61 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006259231-215c | http://is6.auto.ru/all/images/c9/9a/60x45/c99add71.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #000000 | 397 777 |  2012  |  68 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007105171-3c37c6 | http://is6.auto.ru/all/images/c8/a0/60x45/c8a0a50e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 195 000 |  2007  |  130 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007104439-ecf2 | http://is3.auto.ru/all/images/b8/12/60x45/b8129fa8.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0088ff | 323 000 |  2011  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1004840213-cb3b | http://is18.auto.ru/all/images/04/6c/60x45/046c78bf.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 250 000 |  2007  |  157 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007104421-854b0 | http://is6.auto.ru/all/images/85/a4/60x45/85a4eb18.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #000000 | 589 000 |  2014  |  219 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007106603-c246d1 | http://is4.auto.ru/all/images/df/b7/60x45/dfb7d586.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 265 000 |  2010  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Королев | 20.01.15
1006470199-4e39 | http://is3.auto.ru/all/images/af/44/60x45/af44b816.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #ffefd5 | 275 000 |  2009  |  85 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Орехово-Зуево | 20.01.15
1007108561-ec97fd | http://is2.auto.ru/all/images/b0/39/60x45/b039b7e3.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 290 000 |  2012  |  102 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Рязань | 20.01.15
1007108661-bd3a | http://is6.auto.ru/all/images/a4/2e/60x45/a42e05d8.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 260 000 |  2009  |  28 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007108895-1cab20 | http://is11.auto.ru/all/images/cb/06/60x45/cb067183.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 280 000 |  2011  |  140 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007109171-e19f5 | http://is11.auto.ru/all/images/58/49/60x45/5849d728.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 248 000 |  2007  |  135 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Новочеркасск | 20.01.15
1007109565-cbf68d | http://is11.auto.ru/all/images/ce/68/60x45/ce68f042.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 240 000 |  2007  |  85 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Узловая | 20.01.15
1007109701-81ec | http://is18.auto.ru/all/images/58/ac/60x45/58ace2cf.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 330 000 |  2006  |  48 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Белгород | 20.01.15
1007047149-beb60 | http://is10.auto.ru/all/images/54/2a/60x45/542a8b39.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 270 000 |  2007  |  140 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007109153-69f793 | http://is11.auto.ru/all/images/13/c5/60x45/13c58f8f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 315 000 |  2009  |  71 700 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Шуя | 20.01.15
1007110421-ddadb | http://is13.auto.ru/all/images/a4/00/60x45/a400c94e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 320 000 |  2011  |  50 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
50331048-6c14 | http://is11.auto.ru/all/images/a9/02/60x45/a902929b.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 493 680 |  2011  |  51 793 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007095493-3ba9b | http://is17.auto.ru/all/images/26/6c/60x45/266c6ee6.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 325 000 |  2010  |  38 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ижевск | 20.01.15
1007111741-5ea3 | http://is6.auto.ru/all/images/d3/30/60x45/d33004d0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 380 000 |  2011  |  63 800 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Нижний Новгород | 20.01.15
1007110817-3346 | http://is17.auto.ru/all/images/db/2b/60x45/db2b367c.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 340 000 |  2013  |  92 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 20.01.15
1006805293-0e632e | http://is9.auto.ru/all/images/14/09/60x45/1409c53e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 348 000 |  2011  |  71 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 20.01.15
1007113621-8258 | http://is13.auto.ru/all/images/78/f2/60x45/78f2451c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 195 000 |  2005  |  119 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Можайск | 20.01.15
1006937001-09af09 | http://is2.auto.ru/all/images/9c/cf/60x45/9ccfa6f5.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 243 000 |  2009  |  78 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006812905-8bf4ba | http://is5.auto.ru/all/images/de/f2/60x45/def24808.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 365 000 |  2013  |  24 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 20.01.15
1004906713-73b3c | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 330 000 |  2010  |  56 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 20.01.15
1007115237-806995 | http://is4.auto.ru/all/images/80/62/60x45/806295a3.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CC0033 | 269 999 |  2009  |  110 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Подольск | 20.01.15
1007114335-e34c9d | http://is8.auto.ru/all/images/12/74/60x45/12741b40.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FF0000 | 280 000 |  2009  |  40 450 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 20.01.15
1007104287-9442 | http://is12.auto.ru/all/images/8e/04/60x45/8e04c9dd.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 450 000 |  2012  |  68 700 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Пушкино | 20.01.15
1006747243-945c46 | http://is17.auto.ru/all/images/54/67/60x45/5467bd5e.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 295 000 |  2011  |  54 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Псков | 20.01.15
1007115671-b5aa46 | http://is10.auto.ru/all/images/c7/34/60x45/c7345f26.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 450 000 |  2012  |  68 700 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Пушкино | 20.01.15
1006931527-cd789 | http://is17.auto.ru/all/images/b9/2c/60x45/b92ce751.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFCC00 | 305 000 |  2011  |  75 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 20.01.15
